67 1 0.8371 4 1 4 2 5 4 -9999 -9999 -9999 "AT1112"
68 1 1.2557 3 1 5 -9999 -9999 -9999 5 1 5 "AT1114"
69 1 0.8371 2 2 1 -9999 -9999 -9999 -9999 -9999 -9999 "AT1118"
70 1 0.8371 3 2 3 2 3 3 -9999 -9999 -9999 "AT112"
71 1 0.8371 2 1 5 2 2 2 -9999 -9999 -9999 "AT1120"
72 1 1.6742 4 2 2 -9999 -9999 -9999 2 3 1 "AT1122"
73 1 1.2557 2 2 3 -9999 -9999 -9999 -9999 -9999 -9999 "AT1123"
74 1 0.8371 3 3 3 -9999 -9999 -9999 2 3 2 "AT1124"
75 1 0.4186 2 2 3 -9999 -9999 -9999 2 1 5 "AT1125"
76 1 2.5113 2 1 4 -9999 -9999 -9999 2 1 3 "AT1126"
77 1 1.2557 3 1 3 -9999 -9999 -9999 -9999 -9999 -9999 "AT113"
78 1 1.6742 3 2 3 -9999 -9999 -9999 -9999 -9999 -9999 "AT1130"
79 1 0.4186 3 3 2 -9999 -9999 -9999 -9999 -9999 -9999 "AT1131"
80 1 0.4186 3 2 4 -9999 -9999 -9999 -9999 -9999 -9999 "AT1132"
81 1 0.4186 1 4 2 3 2 3 -9999 -9999 -9999 "AT1134"
82 1 1.2557 5 1 -9999 -9999 -9999 -9999 5 1 -9999 "AT1135"
83 1 0.8371 3 3 3 3 1 2 -9999 -9999 -9999 "AT1138"
84 1 0.4186 4 1 5 1 4 4 -9999 -9999 -9999 "AT114"
85 1 0.8371 3 2 3 2 2 2 -9999 -9999 -9999 "AT1142"
86 1 1.6742 3 2 4 3 3 2 -9999 -9999 -9999 "AT1143"
87 1 1.2557 4 4 4 -9999 -9999 -9999 5 4 3 "AT1144"
88 1 1.6742 4 3 4 2 3 1 -9999 -9999 -9999 "AT1148"
89 1 1.6742 3 2 3 1 3 1 -9999 -9999 -9999 "AT1150"
90 1 1.2557 2 2 2 -9999 -9999 -9999 2 2 2 "AT1154"
91 1 1.2557 1 2 4 -9999 -9999 -9999 2 4 4 "AT1155"
92 1 0.8371 2 1 2 -9999 -9999 -9999 -9999 -9999 -9999 "AT1156"
93 1 0.4186 2 2 2 -9999 -9999 -9999 1 3 3 "AT1158"
94 1 0.4186 2 1 2 -9999 -9999 -9999 1 1 1 "AT1159"
95 1 0.8371 4 1 5 2 4 1 -9999 -9999 -9999 "AT116"
96 1 0.8371 2 2 4 -9999 -9999 -9999 1 1 5 "AT1161"
97 1 0.8371 2 1 5 -9999 -9999 -9999 3 1 5 "AT1162"
98 1 0.4186 3 3 4 -9999 -9999 -9999 -9999 -9999 -9999 "AT1166"
