CNTRY param       mi       p  p2        epc         stdXYEPC
  1  F5F2        .004      .950     1.000      .006      .031
  4  V2F2        .000     1.000     1.000      .000      .000
  4  V3F3        .000     1.000     1.000      .000      .000
  4  V1F1        .000     1.000     1.000      .000      .000
  3  V1F1        .000     1.000     1.000      .000      .000
  1  V2F2        .000     1.000     1.000      .000      .000
  3  V3F3        .000     1.000     1.000      .000      .000
  1  V1F1        .000     1.000     1.000      .000      .000
  1  V3F3        .000     1.000     1.000      .000      .000
  3  V2F2        .000     1.000     1.000      .000      .000
