     0.000      1.000      2.000 *               2.000      1.000      1.086   4044.000  3
     0.000      0.000      2.000      2.000      1.000      2.000      0.543   4045.000  3
     1.000      0.000      0.000 *               3.000      1.000      0.526   4050.000  3
     3.000      0.000      3.000 *               3.000      1.000      1.052   4052.000  3
     1.000      1.000      2.000 *               3.000      1.000      1.052   4053.000  3
     1.000      2.000      3.000 *               2.000      1.000      0.526   4056.000  3
     1.000      0.000      4.000 *               3.000      0.000      1.052   4058.000  3
     1.000      1.000      1.000 *               2.000      1.000      0.526   4060.000  3
     1.000      0.000      1.000 *               3.000      3.000      0.526   4061.000  3
     3.000      0.000      4.000 *               4.000      0.000      1.052   4063.000  3
     0.000      0.000      2.000 *               3.000      0.000      2.104   4064.000  3
     1.000      0.000      2.000 *               2.000      0.000      1.052   4065.000  3
     2.000      0.000      4.000 *               3.000      1.000      1.052   4066.000  3
     2.000      2.000      2.000 *               2.000      1.000      1.052   4068.000  3
     2.000      0.000      4.000 *               4.000      0.000      1.052   4070.000  3
     1.000      1.000      3.000 *               2.000      1.000      1.484   4082.000  3
     0.000      0.000      2.000 *               2.000      2.000      0.989   4083.000  3
     1.000      1.000      3.000 *               2.000      2.000      1.052   4084.000  3
     0.000      1.000      2.000 *               1.000      2.000      1.052   4091.000  3
     3.000      0.000      4.000 *               4.000      1.000      1.578   4092.000  3
     2.000      0.000      3.000      1.000      3.000      1.000      0.526   4096.000  3
     4.000      0.000      4.000 *               4.000      0.000      1.052   4097.000  3
     3.000      0.000      4.000 *               4.000      0.000      1.052   4099.000  3
     1.000      1.000      3.000      3.000      4.000      3.000      1.052   4103.000  3
     3.000      1.000      3.000      1.000      3.000      1.000      0.526   4104.000  3
     1.000      1.000      2.000      3.000      2.000      1.000      1.052   4106.000  3
     2.000      0.000      4.000 *               3.000      0.000      0.526   4107.000  3
     1.000      0.000      2.000 *               4.000      1.000      3.155   4113.000  3
     1.000      0.000      4.000 *               4.000      0.000      2.104   4115.000  3
     4.000      0.000      3.000 *               3.000      1.000      0.526   4116.000  3
     3.000      0.000      3.000 *               4.000      0.000      0.526   4122.000  3
     1.000      1.000      2.000 *               2.000      1.000      1.052   4123.000  3
     3.000      0.000      4.000 *               4.000      0.000      1.578   4124.000  3
     0.000      0.000      0.000 *               3.000      0.000      1.052   4129.000  3
     0.000      3.000      1.000 *               1.000      3.000      0.526   4130.000  3
     3.000      1.000      4.000      1.000      3.000      0.000      0.522   4134.000  3
     2.000      0.000      4.000      2.000      4.000      0.000      0.522   4135.000  3
*               1.000      3.000      1.000      3.000      1.000      0.522   4138.000  3
     3.000      0.000      3.000      0.000      3.000      1.000      0.522   4139.000  3
     1.000      1.000      3.000      1.000      3.000      1.000      0.522   4142.000  3
     1.000      1.000      2.000 *               2.000      2.000      0.526   4143.000  3
     0.000      0.000      1.000 *               1.000      2.000      1.044   4144.000  3
     3.000      0.000      4.000      1.000      4.000      0.000      1.566   4145.000  3
     1.000      1.000      3.000      3.000      3.000      1.000      0.522   4153.000  3
     1.000      1.000      2.000      3.000      2.000      2.000      1.566   4158.000  3
     0.000      3.000      1.000      3.000      1.000      2.000      1.044   4165.000  3
     1.000      1.000      1.000      1.000      3.000      3.000      1.044   4167.000  3
     1.000      0.000      0.000 *               3.000      3.000      0.526   4173.000  3
     1.000      1.000      2.000      3.000      1.000      1.000      1.044   4174.000  3
     0.000      0.000      4.000      3.000      3.000      1.000      1.044   4176.000  3
     2.000      0.000      4.000 *               4.000      0.000      0.526   4178.000  3
     2.000      2.000      3.000      2.000      2.000      0.000      0.522   4179.000  3
     1.000      2.000      2.000      3.000      2.000      1.000      1.044   4181.000  3
     2.000      1.000      3.000 *               2.000      0.000      0.526   4182.000  3
     2.000      1.000      3.000      1.000      3.000      1.000      0.522   4184.000  3
     2.000      1.000      4.000      3.000      1.000      1.000      1.044   4187.000  3
     1.000      1.000      3.000      3.000      3.000      1.000      1.044   4191.000  3
     1.000      3.000      1.000      3.000      1.000      3.000      1.566   4192.000  3
     1.000      1.000      3.000      1.000      2.000      0.000      1.044   4195.000  3
     1.000      0.000      1.000 *               0.000      0.000      0.526   4199.000  3
     2.000      0.000      3.000      3.000      2.000      1.000      0.522   4200.000  3
     3.000      0.000      4.000      0.000      4.000      0.000      1.044   4202.000  3
     1.000      3.000      3.000      2.000      2.000      1.000      1.044   4204.000  3
     1.000      2.000      3.000      1.000      2.000      1.000      1.044   4218.000  3
     1.000      1.000      3.000      3.000      1.000      1.000      1.044   4220.000  3
     1.000      1.000      2.000      1.000      2.000      2.000      0.522   4223.000  3
     1.000      1.000      2.000      3.000      2.000      2.000      1.044   4224.000  3
     1.000      1.000      2.000      1.000      2.000      1.000      1.044   4230.000  3
     1.000      1.000      3.000      3.000      2.000      1.000      1.044   4234.000  3
     2.000      1.000      3.000      2.000      3.000      1.000      0.522   4238.000  3
     0.000      1.000      1.000      3.000      1.000      3.000      1.044   4241.000  3
     0.000      1.000      3.000      2.000      1.000      1.000      1.044   4242.000  3
     2.000      2.000      3.000      2.000      2.000      1.000      0.522   4244.000  3
     2.000      0.000      3.000      2.000      4.000      1.000      1.044   4249.000  3
     1.000      1.000      2.000      2.000      2.000      1.000      0.522   4252.000  3
     2.000      0.000      3.000      1.000      3.000      1.000      1.044   4256.000  3
     2.000      1.000      1.000 *               3.000      3.000      1.044   4257.000  3
     3.000      1.000      3.000      1.000      3.000      1.000      1.044   4258.000  3
     1.000      0.000      4.000      3.000      3.000      1.000      1.044   4263.000  3
     2.000      1.000      2.000      3.000      3.000      1.000      1.566   4267.000  3
     1.000      3.000      2.000      3.000      1.000      1.000      1.044   4272.000  3
     1.000      1.000      1.000      3.000      1.000      3.000      0.522   4287.000  3
     3.000      1.000      3.000      3.000      3.000      1.000      1.044   4292.000  3
     1.000      1.000      4.000      2.000      2.000      0.000      1.044   4302.000  3
     4.000      0.000      4.000 *               4.000      0.000      0.526   4304.000  3
     2.000      0.000      2.000      2.000      2.000      1.000      1.566   4310.000  3
     1.000      1.000      2.000      2.000      3.000      2.000      1.044   4314.000  3
     0.000      3.000      3.000      3.000      1.000      3.000      1.044   4315.000  3
     0.000      2.000      0.000      4.000      0.000      2.000      1.044   4317.000  3
     3.000      1.000      3.000      1.000      3.000      1.000      0.522   4318.000  3
     1.000      2.000      3.000 *               3.000      1.000      1.052   4319.000  3
     4.000      2.000      0.000 *               0.000      4.000      0.526   4320.000  3
     1.000      1.000      1.000      1.000      1.000      3.000      1.044   4322.000  3
     1.000      0.000      3.000      1.000      3.000      1.000      1.044   4325.000  3
     2.000      1.000      3.000      1.000      3.000      1.000      0.522   4327.000  3
     2.000      1.000      3.000      2.000      2.000      1.000      0.522   4328.000  3
     3.000      2.000      1.000      3.000      1.000      3.000      1.044   4330.000  3
     1.000      3.000      3.000      3.000      1.000      1.000      0.522   4333.000  3
     1.000      1.000      3.000      3.000      1.000      1.000      2.088   4338.000  3
     1.000      1.000      1.000      3.000      1.000      1.000      0.522   4339.000  3
     1.000      1.000      1.000      3.000      0.000      3.000      1.044   4343.000  3
