 0.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00
 0.54626018E+00   -0.38323805E+00    0.48956345E+00    0.59612354E+00   -0.71564753E+00
 0.13512922E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    0.93187610E-01
 0.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00    0.39706374E-01
 0.10527512E+00   -0.16596690E+00   -0.24706071E-01    0.00000000E+00    0.00000000E+00
 0.26437038E+00   -0.41637383E+00    0.51669725E+00    0.27609612E+00   -0.65389743E+00
 0.85523244E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00    0.40934800E+00
 0.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00    0.51513149E+00
 0.52737196E+00   -0.62560246E-02   -0.48468849E+00    0.00000000E+00    0.00000000E+00
 0.16911530E+01   -0.43763362E+00    0.77583120E+00    0.68839850E+00   -0.56552119E+00
 0.10399103E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00
 0.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00    0.16460157E+00
 0.56497293E+00   -0.24227469E+00    0.42941576E+00    0.00000000E+00    0.00000000E+00
 0.68775857E+00   -0.41403713E+00    0.43686428E+00    0.35445681E+00   -0.63781065E+00
 0.11635086E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    0.27534592E+00
 0.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00    0.95294797E-01
